Keys,Русский
init_menu_continue,Continue
init_menu_load_game,Load
init_menu_new_game,New game
init_menu_options,Settings
init_menu_language,Language
init_menu_credits,Credits
init_menu_guit_game,Quit game
save_slot_empty,Empty data
set_menu_apply,Apply changes
set_menu_reset,Reset to default
set_menu_settings,Settings
set_menu_video,Video
set_menu_view_mode,View mode
set_menu_fullscreen,Fullscreen
set_menu_bw,Borderless window
set_menu_window,Window
set_menu_resolution,Resolution
set_menu_gameplay,Gameplay
set_menu_hud,HUD
set_menu_language,Language
set_menu_auto_lan,Automatic language switching
set_menu_text_vel,Text speed
set_menu_insta,Instantly
set_menu_slow,Slow
set_menu_mid,Medium
set_menu_high,High
set_menu_hud_not,Ocult
set_menu_hud_show,Show
set_menu_hud_otn,Only the necessary
set_menu_view_con,View controls
set_menu_cons_icons,Controls icons
set_menu_keyboard,Keyboard and Mouse
set_menu_gamepad_a,Game Pad Type A
set_menu_gamepad_b,Game Pad Type B
set_menu_gamepad_c,Game Pad Type C
set_menu_dynamic,Dynamic
set_menu_audio,Audio
set_menu_master,General
set_menu_sfx,Sound effects
set_menu_ambient,Ambient
set_menu_musics,Musics
set_menu_dialogues,Dialogues
set_menu_go_back_div,Back to[n][n]home menu
set_menu_go_back,Back to home menu
set_descri_fullscreen,"Defines the game display mode, whether it will remain in full screen or not.[n][n]Default: On[n][n]Warning:[n]- The ""Bordeless window"" option may not work if there is more than 1 screen."
set_descri_resolution,"Defines the resolution of the game window.[n][n]Default: 1920 x 1080[n][n]This option will only work if the ""View mode"" option is set to ""Window""."
set_descri_hud,Defines whether the HUD will appear on the screen.[n]Default: On
set_descri_language,"Defines the game language.[n][n]Warning:[n]- The game must be restarted to change the language, otherwise, the language will not be changed."
set_descri_auto_lan,"Defines whether the language of the game will match the language of the user's operating system.[n][n]Warning:[n]- The game must be restarted for the change to be applied, otherwise, the change will not be applied;[n][n]- The game will only match the languages available in the ""Language"" option."
set_descri_text_vel,Defines the speed of the dialog texts.[n][n]Default: Medium
set_descri_cons_icons,Defines the icon for your controller or keyboard buttons.
set_descri_master,Sets the volume of all existing sounds in the game.[n][n]Default: 10
set_descri_sfx,Sets the volume of all sound effects.[n][n]Default:10
set_descri_ambient,Sets the volume of ambient sounds.[n][n]Default: 10
set_descri_musics,Sets the volume of all musics.[n][n]Default: 10
set_descri_dialogues,Sets the volume of all dialogues.[n][n]Default: 10
set_descri_apply,Applies the changes made in the previous options.[n][n]Warning:[n]- You may need to restart the game to apply certain changes.
set_descri_reset_default,Reset the original predefinitions of the game.[n][n]Warning:[n]- The game will be restarted.
set_descri_con_walkF,Walk forward:
set_descri_con_walkB,Walk backward:
set_descri_con_jump,Jump:
set_descri_con_dodge,Dodge:
set_descri_con_crouch,Crouch:
set_descri_con_atk,Attack:
set_descri_con_atk_hv,Heavy attack:
set_descri_con_block,Block:
set_descri_con_magic,Use magic:
set_descri_con_magic_swap,Magic swap:
set_descri_con_item,Use bag item:
set_descri_con_swap_item,Bag item swap:
set_descri_con_menu,Open Massaru's menu:
set_descri_con_pause,Game pause:
set_descri_con_int,Interact:
descri_default,This item have no description yet.
