Keys,Українська
init_menu_load_game,Завантажити гру
init_menu_new_game,Нова гра
init_menu_options,Налаштування
init_menu_credits,Про гру
init_menu_quit_game,Вийти з гри
init_menu_ng_msg,Оберіть назву для збереження
init_menu_load_warn,Завантажити обране збереження?
init_menu_delete_warn,"Ви впевнені, що бажаєте видалили це збереження?"
init_menu_quit_warn,Ви впевнені що хочете вийти з гри?
init_menu_max_save_warn,"Досягнуто ліміт у 10 збережень.[n]Вам потрібно видалити якесь з них, щоб почати нову гру."
save_slot_empty,Порожнє збереження
set_menu_apply,Прийняти зміни
set_menu_settings,Налаштування
set_menu_video,Відео
set_menu_view_mode,Режим перегляду
set_menu_fullscreen,Повноекранний
set_menu_bw,Безрамковий
set_menu_window,Віконний
set_menu_resolution,Роздільна здатність
set_menu_gameplay,Ігролад
set_menu_hud,Інтерфейс
set_menu_language,Мова
set_menu_auto_lan,Автоматична зміна мови
set_menu_text_vel,Швидкість тексту
set_menu_insta,Одразу
set_menu_slow,Повільна
set_menu_mid,Середня
set_menu_high,Висока
set_menu_hud_not,Не показувати
set_menu_hud_show,Показати
set_menu_view_con,Переглянути керування
set_menu_cons_icons,Іконки керування
set_menu_keyboard,Клавіатура та миша
set_menu_gamepad,Геймпад
set_menu_gamepad_a,Тип геймпаду А
set_menu_gamepad_b,Тип геймпаду Б
set_menu_gamepad_c,Тип геймпаду В
set_menu_dynamic,Динамічно
set_menu_audio,Аудіо
set_menu_master,Загальна гучність
set_menu_sfx,Ефекти
set_menu_ambient,Атмосфера
set_menu_musics,Музика
set_menu_dialogues,Діалоги
set_descri_fullscreen,"Визначає режим відображення гри, чи повинна вона залишитися у повноекранному режимі чи ні.[n][n]За замовченням: Увімкнено[n][n]Увага:[n]- «Безрамковий» режим може не працювати якщо у вас більше ніж 1 екран."
set_descri_resolution,Визначає роздільну здатність вікна гри.[n][n]За замовченням: 1920 x 1080[n][n]Ця опція буде працювати тільки якщо опція «Режим перегляду» буде встановлена на «Віконний».
set_descri_hud,Визначає чи буде відображатися інтерфейс на екрані.[n]За замовченням: Увімкнено
set_descri_language,Визначає мову гри.[n][n]Увага:[n]- Гру треба перезавантажити щоб зміни мови вступили в силу.
set_descri_auto_lan,"Визначає чи буде обрана мова гри в залежності від мови вашої операційної системи.[n][n]Увага:[n]- Щоб зміни вступили в силу, треба перезавантажити гру;[n][n]- Буде обрана та мова яка доступна у списку."
set_descri_text_vel,Визначає швидкість з якою відображаються діалоги.[n][n]За замовченням: Середня
set_descri_cons_icons,Визначає які піктограми будуть відображатися у якості підказок керування.
set_descri_master,Встановлює загальну гучність усіх звуків гри.[n][n]За замовченням: 10
set_descri_sfx,Встановлює гучність звукових ефектів.[n][n]За замовченням: 10
set_descri_ambient,Встановлює гучність звуків атмосфери.[n][n]За замовченням: 10
set_descri_musics,Встановлює гучність музики.[n][n]За замовченням: 10
set_descri_dialogues,Встановлює гучність діалогів.[n][n]За замовченням: 10
set_descri_apply,"Прийняти нові зміни налаштувань.[n][n]Увага:[n]- Вам може знадобитися перезавантажити гру, щоб деякі зміни вступили в силу."
set_menu_buttons_ingame,Керування ігроладу
set_menu_buttons_menu,Керування у меню
set_buttons_rwalk,Йти вправо
set_buttons_lwalk,Йти вліво
set_buttons_jump,Стрибок
set_buttons_int,Взаємодіяти
set_buttons_rattackl,Легка атака правою рукою
set_buttons_rattackh,Важка атака правою рукою
set_buttons_lattackl,Легка атака лівою рукою
set_buttons_lattackh,Важка атака лівою рукою
set_buttons_quickitem,Використати предмет у мішечку
set_buttons_charhand,Змінити зброю у правій руці
set_buttons_chalhand,Змінити зброю у лівій руці
set_buttons_chamagic,Змінити чари
set_buttons_chaitem,Змінити предмет у мішечку
set_buttons_upcam,Підняти камеру
set_buttons_dwcam,Опустити камеру
set_buttons_menu,Open menu selection1
set_buttons_map,Відкрити мапу
set_buttons_block,Блокувати
set_buttons_dodge,Ухильнутися
set_buttons_select,Обрати
set_buttons_cancel,Скасувати
set_buttons_remove_item,Видалити предмет
descri_default,У цього предмета поки що немає опису.
popup_reset_warn,"Ви впевнені, що бажаєте скинути налаштування за замовченням?"
popup_reseting,Скидуємо налаштування...
popup_apply_changes_warn,"Ви впевнені, що бажаєте прийняти зміни?"
popup_changing,Приймаємо зміни...
cred_menu_credits,Про гру
cred_menu_developed,Гру розробив
cred_menu_musics,Музику виконав
cred_menu_translators,Перекладачі
cred_menu_special_thanks,Особливі подяки
cred_menu_thank_you,Дякуємо за гру!
cred_menu_hint,"Клацніть на імена, щоб дізнатися більше про цих неймовірних людей."
term_version,Версія {0}
term_cancel,Скасувати
term_hold,Утримувати
term_confirm,Прийняти
term_ok,ОК
term_no,Ні
term_yes,Так
term_empty,Порожньо
term_on,Увімкнено
term_off,Вимкнено
term_enabled,Активовано
term_disabled,Деактивовано
term_go_back,Назад
term_leave,Залишити
term_type_a,Тип А
term_type_b,Тип Б
term_type_c,Тип В
term_nothing,Нічого
term_you_died,ВИ ЗАГИНУЛИ
term_ct_restored,ТОТЕМ ПОПЕЛУ ВІДНОВЛЕНО
term_enemy_exterminated,ВОРОГА ЗНИЩЕНО
term_leader_defeated,ВАТАЖКА ПЕРЕМОЖЕНО
term_king_slain,КОРОЛЯ ВБИТО
term_legion,Легіон
term_hp,ОЗ
term_mp,ОМ
term_blessing,Освячення
term_def,Захист
term_level,Рівень
term_blood_hld,Крові у наявності
term_blood_ndd,Крові потрібно
term_blood_required,Крові потребується
term_blood_received,Отримано крові
term_atk_power,Потужність атаки
term_heavy_infusion_a,Важкий {0}
term_heavy_infusion_b,Важка {0}
term_heavy_infusion_c,Важкі {0}
term_heavy_infusion_d,Важкі {0}
term_sharp_infusion_a,Гострий {0}
term_sharp_infusion_b,Гостра {0}
term_sharp_infusion_c,Гострі {0}
term_sharp_infusion_d,Гострі {0}
term_quality_infusion_a,Якісний {0}
term_quality_infusion_b,Якісна {0}
term_quality_infusion_c,Якісні {0}
term_quality_infusion_d,Якісні {0}
term_brute_infusion_a,Грубий {0}
term_brute_infusion_b,Груба {0}
term_brute_infusion_c,Грубі {0}
term_brute_infusion_d,Грубі {0}
term_pyromantic_infusion_a,Піромантичний {0}
term_pyromantic_infusion_b,Піромантична {0}
term_pyromantic_infusion_c,Піромантичні {0}
term_pyromantic_infusion_d,Піромантичні {0}
term_flaming_infusion_a,Вогняний {0}
term_flaming_infusion_b,Вогняна {0}
term_flaming_infusion_c,Вогняні {0}
term_flaming_infusion_d,Вогняні {0}
term_freezing_infusion_a,Крижаний {0}
term_freezing_infusion_b,Крижана {0}
term_freezing_infusion_c,Крижані {0}
term_freezing_infusion_d,Крижані {0}
term_electric_infusion_a,Електричний {0}
term_electric_infusion_b,Електрична {0}
term_electric_infusion_c,Електричні {0}
term_electric_infusion_d,Електричні {0}
term_poisonous_infusion_a,Отруйний {0}
term_poisonous_infusion_b,Отруйна {0}
term_poisonous_infusion_c,Отруйні {0}
term_poisonous_infusion_d,Отруйні {0}
term_bloody_infusion_a,Кривавий {0}
term_bloody_infusion_b,Кривава {0}
term_bloody_infusion_c,Криваві {0}
term_bloody_infusion_d,Криваві {0}
term_darkness_infusion_a,Темний {0}
term_darkness_infusion_b,Темна {0}
term_darkness_infusion_c,Темні {0}
term_darkness_infusion_d,Темні {0}
term_number,№
term_conclusion,Висновок
term_base_power,Базова потужність
term_bonus_highest_scaling,А+
term_bonus_high_scaling,А
term_bonus_good_scaling,Б
term_bonus_mid_scaling,В
term_bonus_low_scaling,Г
term_bonus_lowest_scaling,Д
term_use,Використати
term_equip,Екіпірувати
term_discard,Викинути
term_tdefeat,Разів переможено
term_no_magics,У вас немає жодних чар...
term_no_items,У вас немає жодного предмету цієї групи...
term_shop_no_items,Цей торговець не має жодного предмету цієї групи...
term_pick_up,Взяти
term_lit,Відновити
term_rest,Відпочити
term_talk,Говорити
term_change_equip,Змінити екіпірування
term_class,Клас
term_manor_court,Дарунок садиби
term_kind,Тип 
term_unknown,Невідомо
term_value,Вартість
term_held,В наявності
term_stored,Зберігається
term_cannot_sold,Цей предмет не можна продати
term_description,Опис
term_skip,Пропустити
term_effects,Ефекти
term_immune,Імун.
term_limit_reached,Ви не можете зберігати більшу кількість {0}.
menu_info_title,Інформація про персонажа
menu_equi_title,Екіпіровка
menu_inv_title,Інвентар
menu_knw_title,Бестіарій
menu_map_title,Мапа
menu_shop_title,Крамниця предметів
menu_shop_purchase,Купити
menu_shop_sell,Продати
menu_class_title,Визначення класу
menu_info_descri,Переглянути ваші характеристики
menu_equi_descri,Змінити вашу екіпіровку
menu_inv_descri,Переглянути і використати ваші предмети
menu_knw_descri,Описи монстрів
menu_map_descri,Переглянути ваше розташування
menu_shop_descri_purchase,Купити предмети у крамаря
menu_shop_descri_sell,Продати предмети крамарю
menu_class_descri,Оберіть вашу початкову екіпіровку
menu_equi_ana,Броня та кільця
menu_equi_wng,Зброя та самоцвіти
menu_equi_bag,Мішечок
menu_ce,"У вас недостатньо атрибутів, щоб повноцінно використовувати цю зброю. Ваші атаки будуть послаблені."
menu_inv_bda,Бонуси атрибутів та вимоги
menu_inv_bonus,Бонус
menu_inv_req,Вимоги
menu_inv_dis_warn,Викинути цей предмет?
menu_shop_purchase_many,Скільки купити?
menu_shop_sell_many,Скільки продати?
menu_class_items,Предмети класу
menu_class_status,Статус класу
menu_class_appearance,Це зовнішній вигляд броні класу
group_tools,Інструменти
group_materials,Матеріали
group_keys,Ключові предмети
group_accessories,Аксесуари
group_armors,Броня
group_weapons,Зброя
group_gems,Самоцвіти
group_magics,Чари
group_rings,Кільця
group_knowledges,Знання
box_general,Загальні
box_power,Потужність
box_equipment,Екіпіровка
attr_str,Сила
attr_dex,Спритність
attr_imp,Енергія
attr_vit,Життєва сила
attr_res,Опір
attr_lck,Удача
elm_phys,Фізична
elm_pyro,Піромантична
elm_fire,Вогняна
elm_ice,Крижана
elm_elec,Електрична
elm_psn,Отруєння
elm_ble,Кровотеча
elm_dar,Темнота
elm_phys_abbr,Фіз.
elm_pyro_abbr,Піро.
elm_fire_abbr,Вогн.
elm_ice_abbr,Криж.
elm_elec_abbr,Елект.
elm_psn_abbr,Отрує.
elm_ble_abbr,Кров.
elm_dar_abbr,Темн.
atk_phys,Фізична АТК
atk_pyro,Піромантична АТК
atk_fire,Вогняна АТК
atk_ice,Крижана АТК
atk_elec,Електрична АТК
atk_psn,Отруйна АТК
atk_ble,Кривава АТК
atk_dar,Темна АТК
def_phys,Фізичний ЗАХ
def_pyro,Піроматичний ЗАХ
def_fire,Вогняний ЗАХ
def_ice,Крижаний ЗАХ
def_elec,Електричний ЗАХ
def_psn,Отруйний ЗАХ
def_ble,Кривава ЗАХ
def_dar,Темний ЗАХ
legion_000,Засудженні підземелля
legion_001,Конформісти сутності
legion_002,Паства темряви
legion_003,Драконічний міф
pause_cont,Продовжити
